saith the,the king,saith,love,children of,the children,jesus christ,faith,he that,jesus,
0.000000,0.000000,0.000000,0.000000,3.842459,3.842459,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,3.828484,3.828484,0.000000,0.765697,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,1.242236,1.242236,0.000000,0.000000,1.242236,0.000000,
0.000000,0.000000,0.000000,0.000000,6.250000,6.250000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,1.745201,1.745201,0.000000,0.000000,0.000000,0.000000,
0.000000,2.604167,0.000000,0.000000,1.302083,1.302083,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,3.533569,3.533569,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,12.747875,12.747875,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,1.818182,0.000000,12.727273,12.727273,0.000000,0.000000,0.000000,0.000000,
0.000000,1.106195,0.000000,0.000000,1.106195,1.106195,0.000000,0.000000,0.000000,0.000000,
1.079914,0.000000,1.079914,0.000000,4.319654,4.319654,0.000000,0.000000,1.079914,0.000000,
0.000000,3.276003,0.000000,0.000000,1.638002,1.638002,0.000000,0.000000,0.819001,0.000000,
0.000000,0.000000,0.000000,0.000000,3.750000,3.750000,0.000000,0.000000,0.000000,0.000000,
0.000000,13.639627,0.000000,0.000000,3.589375,3.589375,0.000000,0.000000,0.000000,0.000000,
0.000000,4.184100,0.000000,0.000000,4.184100,4.184100,0.000000,0.000000,0.000000,0.000000,
0.000000,63.786008,0.000000,0.000000,8.230453,8.230453,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,15.757576,15.757576,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,12.371134,12.371134,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,7.751938,7.751938,0.000000,0.000000,0.968992,0.000000,
0.000000,0.000000,0.000000,0.000000,23.715415,23.715415,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,19.696970,18.181818,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,14.285714,14.285714,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,23.305085,23.305085,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,6.493506,6.493506,0.000000,0.000000,3.246753,0.000000,
0.000000,0.000000,0.000000,0.000000,19.493177,19.493177,0.000000,0.000000,0.000000,0.000000,
0.757002,0.000000,0.757002,0.757002,26.495079,24.981075,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,1.742160,0.000000,0.000000,0.000000,0.000000,1.742160,0.000000,
0.957854,0.000000,0.957854,0.000000,1.915709,1.915709,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,8.316008,8.316008,0.000000,0.000000,1.039501,0.000000,
0.000000,0.000000,0.000000,0.000000,4.335260,4.335260,0.000000,0.000000,0.000000,0.000000,
0.000000,3.562945,0.000000,0.000000,14.251781,14.251781,0.000000,0.000000,0.000000,0.000000,
0.000000,3.942181,0.000000,0.000000,11.826544,11.826544,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,1.324503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.772201,0.000000,0.772201,0.000000,5.405405,5.405405,0.000000,0.000000,0.772201,0.000000,
